date,country,apl-driving,apl-transit,apl-walking
2020-01-13,ALB,100.0,,100.0
2020-01-14,ALB,95.3,,100.68
2020-01-15,ALB,101.43,,98.93
2020-01-16,ALB,97.2,,98.46
2020-01-17,ALB,103.55,,100.85
2020-01-18,ALB,112.67,,100.13
2020-01-19,ALB,104.83,,82.13
2020-01-20,ALB,94.39,,95.65
2020-01-21,ALB,94.07,,97.78
2020-01-22,ALB,93.51,,95.39
2020-01-23,ALB,92.94,,94.24
2020-01-24,ALB,102.13,,93.73
2020-01-25,ALB,102.38,,97.06
2020-01-26,ALB,101.41,,77.27
2020-01-27,ALB,94.62,,83.37
2020-01-28,ALB,89.12,,82.73
2020-01-29,ALB,90.17,,84.39
2020-01-30,ALB,90.21,,88.19
2020-01-31,ALB,97.71,,90.79
2020-02-01,ALB,102.5,,88.7
2020-02-02,ALB,108.92,,79.32
2020-02-03,ALB,92.82,,87.12
2020-02-04,ALB,91.48,,88.06
2020-02-05,ALB,93.99,,99.4
2020-02-06,ALB,96.72,,85.84
2020-02-07,ALB,102.46,,94.63
2020-02-08,ALB,103.29,,99.74
2020-02-09,ALB,107.83,,81.41
2020-02-10,ALB,87.99,,90.19
2020-02-11,ALB,94.18,,90.45
2020-02-12,ALB,94.62,,94.16
2020-02-13,ALB,99.7,,95.69
2020-02-14,ALB,139.3,,109.21
2020-02-15,ALB,123.9,,108.4
2020-02-16,ALB,129.41,,84.52
2020-02-17,ALB,102.24,,96.63
2020-02-18,ALB,88.09,,87.38
2020-02-19,ALB,88.17,,81.49
2020-02-20,ALB,94.48,,87.21
2020-02-21,ALB,100.62,,93.52
2020-02-22,ALB,111.02,,94.5
2020-02-23,ALB,113.5,,74.8
2020-02-24,ALB,86.95,,87.25
2020-02-25,ALB,83.01,,81.41
2020-02-26,ALB,85.44,,77.78
2020-02-27,ALB,82.73,,74.5
2020-02-28,ALB,89.7,,81.19
2020-02-29,ALB,95.48,,87.97
2020-03-01,ALB,100.43,,78.42
2020-03-02,ALB,89.25,,94.88
2020-03-03,ALB,91.02,,95.65
