country,date,parks,residential,retail-and-recreation,transit-stations,workplaces,grocery-and-pharmacy
AFG,2020-02-16,2.0,-1.0,6.0,9.0,5.0,11.0
AFG,2020-02-17,3.0,-1.0,3.0,9.0,6.0,5.0
AFG,2020-02-18,1.0,1.0,-1.0,0.0,5.0,3.0
AFG,2020-02-19,-1.0,1.0,-2.0,4.0,6.0,3.0
AFG,2020-02-20,3.0,0.0,0.0,6.0,6.0,9.0
AFG,2020-02-21,5.0,0.0,1.0,7.0,6.0,6.0
AFG,2020-02-22,3.0,0.0,2.0,7.0,6.0,6.0
AFG,2020-02-23,4.0,0.0,2.0,8.0,7.0,12.0
AFG,2020-02-24,2.0,0.0,2.0,9.0,7.0,6.0
AFG,2020-02-25,2.0,1.0,0.0,5.0,6.0,5.0
AFG,2020-02-26,1.0,2.0,-1.0,3.0,7.0,2.0
AFG,2020-02-27,1.0,2.0,-2.0,4.0,6.0,3.0
AFG,2020-02-28,0.0,2.0,-1.0,4.0,6.0,2.0
AFG,2020-02-29,1.0,1.0,2.0,8.0,8.0,7.0
AFG,2020-03-01,3.0,0.0,4.0,9.0,8.0,8.0
AFG,2020-03-02,2.0,0.0,4.0,8.0,8.0,7.0
AFG,2020-03-03,1.0,1.0,0.0,2.0,8.0,5.0
AFG,2020-03-04,2.0,1.0,1.0,2.0,9.0,5.0
AFG,2020-03-05,6.0,1.0,3.0,4.0,9.0,8.0
AFG,2020-03-06,6.0,1.0,1.0,4.0,8.0,7.0
AFG,2020-03-07,4.0,0.0,2.0,5.0,7.0,7.0
AFG,2020-03-08,0.0,3.0,-5.0,-1.0,-7.0,-1.0
AFG,2020-03-09,-2.0,4.0,-8.0,-2.0,-9.0,-5.0
AFG,2020-03-10,2.0,1.0,1.0,4.0,5.0,-1.0
AFG,2020-03-11,2.0,1.0,2.0,-1.0,4.0,-2.0
AFG,2020-03-12,3.0,1.0,2.0,1.0,5.0,1.0
AFG,2020-03-13,6.0,0.0,4.0,5.0,4.0,6.0
AFG,2020-03-14,5.0,0.0,4.0,5.0,3.0,5.0
AFG,2020-03-15,4.0,0.0,1.0,5.0,2.0,12.0
AFG,2020-03-16,3.0,1.0,1.0,2.0,1.0,12.0
AFG,2020-03-17,4.0,0.0,0.0,-4.0,1.0,6.0
AFG,2020-03-18,5.0,1.0,-1.0,-6.0,-1.0,6.0
AFG,2020-03-19,5.0,2.0,-6.0,-9.0,-3.0,3.0
AFG,2020-03-20,6.0,2.0,-17.0,-20.0,-13.0,-2.0
AFG,2020-03-21,1.0,5.0,-21.0,-22.0,-30.0,-9.0
AFG,2020-03-22,-1.0,2.0,-12.0,-15.0,-5.0,9.0
AFG,2020-03-23,0.0,3.0,-12.0,-17.0,-3.0,6.0
AFG,2020-03-24,-1.0,4.0,-16.0,-19.0,-6.0,0.0
AFG,2020-03-25,-3.0,6.0,-18.0,-23.0,-10.0,0.0
AFG,2020-03-26,-4.0,7.0,-18.0,-22.0,-10.0,1.0
AFG,2020-03-27,-3.0,5.0,-21.0,-17.0,-3.0,4.0
AFG,2020-03-28,-7.0,11.0,-36.0,-32.0,-27.0,-20.0
AFG,2020-03-29,-13.0,10.0,-38.0,-34.0,-33.0,-21.0
AFG,2020-03-30,-14.0,11.0,-41.0,-39.0,-37.0,-26.0
AFG,2020-03-31,-13.0,11.0,-43.0,-41.0,-38.0,-28.0
AFG,2020-04-01,-9.0,11.0,-44.0,-38.0,-37.0,-25.0
AFG,2020-04-02,-10.0,12.0,-44.0,-35.0,-33.0,-25.0
AFG,2020-04-03,-8.0,6.0,-38.0,-32.0,-13.0,-13.0
AFG,2020-04-04,-11.0,10.0,-43.0,-38.0,-34.0,-20.0
AFG,2020-04-05,-13.0,12.0,-45.0,-36.0,-38.0,-22.0
AFG,2020-04-06,-11.0,11.0,-44.0,-40.0,-40.0,-20.0
AFG,2020-04-07,-11.0,10.0,-41.0,-47.0,-40.0,-25.0
AFG,2020-04-08,-12.0,14.0,-47.0,-52.0,-42.0,-31.0
AFG,2020-04-09,-13.0,16.0,-49.0,-51.0,-39.0,-35.0
AFG,2020-04-10,-10.0,11.0,-41.0,-48.0,-16.0,-22.0
AFG,2020-04-11,-12.0,16.0,-46.0,-50.0,-38.0,-32.0
AGO,2020-02-16,2.0,0.0,-6.0,-3.0,4.0,-4.0
