date,country,isolation
2020-02-23,RU-SPE,2.5
2020-02-24,RU-SPE,2.6
2020-02-25,RU-SPE,0.4
2020-02-26,RU-SPE,0.4
2020-02-27,RU-SPE,0.4
2020-02-28,RU-SPE,0.5
2020-02-29,RU-SPE,2.0
2020-03-01,RU-SPE,2.6
2020-03-02,RU-SPE,0.5
2020-03-03,RU-SPE,0.4
2020-03-04,RU-SPE,0.4
2020-03-05,RU-SPE,0.4
2020-03-06,RU-SPE,0.4
2020-03-07,RU-SPE,2.0
2020-03-08,RU-SPE,2.4
2020-03-09,RU-SPE,2.4
2020-03-10,RU-SPE,0.4
2020-03-11,RU-SPE,0.4
2020-03-12,RU-SPE,0.5
2020-03-13,RU-SPE,0.5
2020-03-14,RU-SPE,2.1
2020-03-15,RU-SPE,2.6
2020-03-16,RU-SPE,0.7
2020-03-17,RU-SPE,0.6
2020-03-18,RU-SPE,0.8
2020-03-19,RU-SPE,0.9
2020-03-20,RU-SPE,0.9
2020-03-21,RU-SPE,2.4
2020-03-22,RU-SPE,2.8
2020-03-23,RU-SPE,1.0
2020-03-24,RU-SPE,1.1
2020-03-25,RU-SPE,1.0
2020-03-26,RU-SPE,1.1
2020-03-27,RU-SPE,1.1
2020-03-28,RU-SPE,3.0
2020-03-29,RU-SPE,3.6
2020-03-30,RU-SPE,3.0
2020-03-31,RU-SPE,3.2
2020-04-01,RU-SPE,3.4
2020-04-02,RU-SPE,3.5
2020-04-03,RU-SPE,3.4
2020-04-04,RU-SPE,3.8
2020-04-05,RU-SPE,3.9
2020-04-06,RU-SPE,2.9
2020-04-07,RU-SPE,2.8
2020-04-08,RU-SPE,2.8
2020-04-09,RU-SPE,2.8
2020-04-10,RU-SPE,2.7
2020-04-11,RU-SPE,3.5
2020-04-12,RU-SPE,3.8
2020-04-13,RU-SPE,2.7
2020-04-14,RU-SPE,2.7
2020-04-15,RU-SPE,2.7
2020-04-16,RU-SPE,2.7
2020-04-17,RU-SPE,2.7
2020-04-18,RU-SPE,3.5
2020-04-19,RU-SPE,3.8
2020-02-23,RU-BEL,2.6
2020-02-24,RU-BEL,2.7
2020-02-25,RU-BEL,0.4
2020-02-26,RU-BEL,0.4
2020-02-27,RU-BEL,0.4
2020-02-28,RU-BEL,0.4
2020-02-29,RU-BEL,1.8
2020-03-01,RU-BEL,2.3
2020-03-02,RU-BEL,0.4
2020-03-03,RU-BEL,0.3
2020-03-04,RU-BEL,0.2
2020-03-05,RU-BEL,0.2
2020-03-06,RU-BEL,0.2
2020-03-07,RU-BEL,1.7
2020-03-08,RU-BEL,2.1
2020-03-09,RU-BEL,2.3
2020-03-10,RU-BEL,0.2
2020-03-11,RU-BEL,0.3
2020-03-12,RU-BEL,0.3
2020-03-13,RU-BEL,0.3
2020-03-14,RU-BEL,1.8
2020-03-15,RU-BEL,2.7
2020-03-16,RU-BEL,0.4
2020-03-17,RU-BEL,0.3
2020-03-18,RU-BEL,0.3
2020-03-19,RU-BEL,0.4
2020-03-20,RU-BEL,0.3
2020-03-21,RU-BEL,1.9
2020-03-22,RU-BEL,2.9
2020-03-23,RU-BEL,0.7
2020-03-24,RU-BEL,0.7
2020-03-25,RU-BEL,0.7
2020-03-26,RU-BEL,0.6
2020-03-27,RU-BEL,0.6
2020-03-28,RU-BEL,2.5
2020-03-29,RU-BEL,3.3
2020-03-30,RU-BEL,2.4
2020-03-31,RU-BEL,2.8
2020-04-01,RU-BEL,3.0
2020-04-02,RU-BEL,2.9
2020-04-03,RU-BEL,2.7
2020-04-04,RU-BEL,3.3
2020-04-05,RU-BEL,3.7
2020-04-06,RU-BEL,2.3
2020-04-07,RU-BEL,2.3
2020-04-08,RU-BEL,2.3
2020-04-09,RU-BEL,2.1
2020-04-10,RU-BEL,1.9
2020-04-11,RU-BEL,2.8
2020-04-12,RU-BEL,3.3
2020-04-13,RU-BEL,1.7
2020-04-14,RU-BEL,1.7
2020-04-15,RU-BEL,1.8
2020-04-16,RU-BEL,1.9
2020-04-17,RU-BEL,1.8
2020-04-18,RU-BEL,2.9
2020-04-19,RU-BEL,3.6
2020-02-23,RU-IVA,2.7
2020-02-24,RU-IVA,2.6
2020-02-25,RU-IVA,0.5
2020-02-26,RU-IVA,0.4
2020-02-27,RU-IVA,0.4
2020-02-28,RU-IVA,0.4
2020-02-29,RU-IVA,2.1
2020-03-01,RU-IVA,2.6
2020-03-02,RU-IVA,0.5
2020-03-03,RU-IVA,0.4
2020-03-04,RU-IVA,0.4
2020-03-05,RU-IVA,0.4
2020-03-06,RU-IVA,0.4
2020-03-07,RU-IVA,1.9
2020-03-08,RU-IVA,2.6
2020-03-09,RU-IVA,2.5
2020-03-10,RU-IVA,0.6
2020-03-11,RU-IVA,0.5
2020-03-12,RU-IVA,0.4
2020-03-13,RU-IVA,0.5
2020-03-14,RU-IVA,2.0
2020-03-15,RU-IVA,2.9
2020-03-16,RU-IVA,0.5
2020-03-17,RU-IVA,0.4
2020-03-18,RU-IVA,0.8
2020-03-19,RU-IVA,0.9
2020-03-20,RU-IVA,0.9
2020-03-21,RU-IVA,2.4
2020-03-22,RU-IVA,3.0
2020-03-23,RU-IVA,0.9
2020-03-24,RU-IVA,1.0
2020-03-25,RU-IVA,1.0
2020-03-26,RU-IVA,1.0
2020-03-27,RU-IVA,1.0
2020-03-28,RU-IVA,2.8
2020-03-29,RU-IVA,3.5
2020-03-30,RU-IVA,3.0
2020-03-31,RU-IVA,3.3
2020-04-01,RU-IVA,3.2
2020-04-02,RU-IVA,3.6
2020-04-03,RU-IVA,3.4
2020-04-04,RU-IVA,3.8
2020-04-05,RU-IVA,4.0
2020-04-06,RU-IVA,2.9
2020-04-07,RU-IVA,2.8
2020-04-08,RU-IVA,2.7
2020-04-09,RU-IVA,2.6
2020-04-10,RU-IVA,2.7
2020-04-11,RU-IVA,3.5
2020-04-12,RU-IVA,3.8
2020-04-13,RU-IVA,2.6
2020-04-14,RU-IVA,2.6
2020-04-15,RU-IVA,2.6
2020-04-16,RU-IVA,2.6
2020-04-17,RU-IVA,2.6
2020-04-18,RU-IVA,3.6
2020-04-19,RU-IVA,3.8
2020-02-23,RU-KLU,2.8
2020-02-24,RU-KLU,2.9
2020-02-25,RU-KLU,0.7
2020-02-26,RU-KLU,0.8
2020-02-27,RU-KLU,0.8
2020-02-28,RU-KLU,0.7
2020-02-29,RU-KLU,2.3
2020-03-01,RU-KLU,2.9
2020-03-02,RU-KLU,0.8
2020-03-03,RU-KLU,0.7
2020-03-04,RU-KLU,0.6
2020-03-05,RU-KLU,0.6
2020-03-06,RU-KLU,0.7
2020-03-07,RU-KLU,2.0
2020-03-08,RU-KLU,2.6
2020-03-09,RU-KLU,2.7
2020-03-10,RU-KLU,0.7
2020-03-11,RU-KLU,0.7
2020-03-12,RU-KLU,0.7
2020-03-13,RU-KLU,0.8
2020-03-14,RU-KLU,2.2
2020-03-15,RU-KLU,3.1
2020-03-16,RU-KLU,0.7
2020-03-17,RU-KLU,1.0
2020-03-18,RU-KLU,1.1
2020-03-19,RU-KLU,1.2
2020-03-20,RU-KLU,1.2
2020-03-21,RU-KLU,2.6
2020-03-22,RU-KLU,3.1
2020-03-23,RU-KLU,1.3
2020-03-24,RU-KLU,1.2
2020-03-25,RU-KLU,1.1
2020-03-26,RU-KLU,1.1
2020-03-27,RU-KLU,1.2
2020-03-28,RU-KLU,2.7
2020-03-29,RU-KLU,3.3
2020-03-30,RU-KLU,3.0
2020-03-31,RU-KLU,3.4
2020-04-01,RU-KLU,3.5
2020-04-02,RU-KLU,3.5
2020-04-03,RU-KLU,3.4
2020-04-04,RU-KLU,3.8
2020-04-05,RU-KLU,4.0
2020-04-06,RU-KLU,3.0
2020-04-07,RU-KLU,2.9
2020-04-08,RU-KLU,2.9
2020-04-09,RU-KLU,2.7
2020-04-10,RU-KLU,2.7
2020-04-11,RU-KLU,3.4
2020-04-12,RU-KLU,3.7
2020-04-13,RU-KLU,2.5
2020-04-14,RU-KLU,2.7
2020-04-15,RU-KLU,2.6
2020-04-16,RU-KLU,2.8
2020-04-17,RU-KLU,2.7
2020-04-18,RU-KLU,3.5
2020-04-19,RU-KLU,3.9
2020-02-23,RU-KOS,2.9
2020-02-24,RU-KOS,2.9
2020-02-25,RU-KOS,0.9
2020-02-26,RU-KOS,0.9
2020-02-27,RU-KOS,0.9
2020-02-28,RU-KOS,0.8
2020-02-29,RU-KOS,2.4
2020-03-01,RU-KOS,2.7
2020-03-02,RU-KOS,1.0
2020-03-03,RU-KOS,0.8
2020-03-04,RU-KOS,0.8
2020-03-05,RU-KOS,0.8
2020-03-06,RU-KOS,0.8
2020-03-07,RU-KOS,2.2
2020-03-08,RU-KOS,2.8
2020-03-09,RU-KOS,2.8
2020-03-10,RU-KOS,1.0
2020-03-11,RU-KOS,0.8
2020-03-12,RU-KOS,0.8
2020-03-13,RU-KOS,0.9
2020-03-14,RU-KOS,2.3
2020-03-15,RU-KOS,3.0
2020-03-16,RU-KOS,0.8
2020-03-17,RU-KOS,0.8
2020-03-18,RU-KOS,0.8
