country,date,level
ALB,2020-03-13,National
ARE,2020-03-26,National
ARG,2020-03-19,National
ARM,2020-03-24,National
AUS,2020-03-23,National
AUT,2020-03-16,National
AZE,2020-03-31,National
BEL,2020-03-18,National
BGD,2020-03-26,National
BLR,2020-04-07,City
BOL,2020-03-22,National
BRA,2020-03-17,State
BRB,2020-03-28,National
CHE,2020-03-17,National
CHL,2020-03-19,National
COL,2020-03-25,National
CRI,2020-03-23,National
CUB,2020-03-23,National
DEU,2020-03-23,National
DNK,2020-03-11,National
DOM,2020-03-19,National
DZA,2020-03-23,City
ECU,2020-03-16,National
ERI,2020-04-02,National
ESP,2020-03-14,National
FIN,2020-03-27,Region
FJI,2020-03-20,City
FRA,2020-03-17,National
GBR,2020-03-23,National
GEO,2020-03-31,National
GHA,2020-03-30,Metropolitan Area
GRC,2020-03-23,National
HND,2020-03-20,National
HRV,2020-03-18,National
HUN,2020-03-28,National
IND,2020-03-25,National
IRL,2020-03-12,National
IRQ,2020-03-22,National
ISR,2020-04-02,City
ITA,2020-03-09,National
JAM,2020-04-15,Parish
JOR,2020-03-18,National
JPN,2020-04-07,Prefecture
KWT,2020-03-14,National
LBN,2020-03-15,National
LBR,2020-03-23,County
LBY,2020-03-22,National
LTU,2020-03-16,National
LUX,2020-03-18,National
MAR,2020-03-19,National
MDG,2020-03-23,City
MNE,2020-03-24,Municipality
MYS,2020-03-18,National
NGA,2020-03-30,City
NLD,2020-03-16,National
NOR,2020-03-12,National
NPL,2020-03-24,National
NZL,2020-03-26,National
OMN,2020-04-10,Governorate
PAK,2020-03-24,National
PAN,2020-03-25,National
PER,2020-03-16,National
PHL,2020-03-27,Province
PNG,2020-03-24,National
POL,2020-03-13,National
PRT,2020-03-19,National
PRY,2020-03-20,National
QAT,2020-03-11,Industrial park
ROU,2020-03-25,National
RUS,2020-03-30,Metropolitan area
RWA,2020-03-21,National
SAU,2020-03-29,City
SGP,2020-04-07,National
SLV,2020-03-12,National
SMR,2020-03-14,National
SRB,2020-03-15,National
SVK,2020-03-16,National
THA,2020-03-25,National
TTO,2020-03-17,National
TUN,2020-03-22,National
TUR,2020-04-23,National
UKR,2020-03-17,National
VEN,2020-03-17,National
ZAF,2020-03-26,National
ZWE,2020-03-30,National
