Region,global_vec_0,global_vec_1,global_vec_2,global_vec_3,global_vec_4,global_vec_5,global_vec_6,global_vec_7,global_vec_8,global_vec_9,global_vec_10,global_vec_11,global_vec_12,global_vec_13,global_vec_14,global_vec_15,global_vec_16,global_vec_17,global_vec_18,global_vec_19,global_vec_20,global_vec_21,global_vec_22,global_vec_23,global_vec_24,global_vec_25,global_vec_26,global_vec_27,region_vec_0,region_vec_1,region_vec_2,region_vec_3,region_vec_4,region_vec_5,region_vec_6,region_vec_7,region_vec_8,region_vec_9,region_vec_10,region_vec_11,region_vec_12,region_vec_13,region_vec_14,region_vec_15,region_vec_16,region_vec_17,region_vec_18,region_vec_19,region_vec_20,region_vec_21,region_vec_22,region_vec_23,region_vec_24,region_vec_25,region_vec_26,region_vec_27
RU-AL,0.0,0.0,0.0,0.45281874,0.0,0.7021971425,0.0,0.549030195,0.0,0.0,0.0,0.0,0.0,0.015690469999999998,0.24758201000000002,0.285648865,0.8817418075000001,-0.0,-0.0,-0.0,0.6338252025000001,-0.0,0.09660731750000001,0.5044997275,0.2580674375,0.55995345,1.5054035525,1.0719688375,0.0790693555534351,0.01007028563143875,0.02603131072882024,0.42355748119802356,0.044231891031327034,0.6569341089725472,0.05123220395072185,0.5035966187596308,0.0201405712628775,0.09950563994079528,0.03192205019476298,0.01007028563143875,0.0,0.03803498357851266,0.19806560665716716,0.2566711325873957,0.7915325500328945,0.027586551984767272,0.0,0.0,0.5070601614678641,0.0,0.07728585386261462,0.4035997820144218,0.3114777061872635,0.45993802871707246,1.2493772990090646,0.8575750693304902
RU-ALT,0.48443471000000005,0.089653045,0.11350684,0.3704407225,0.16813801499999997,0.383360175,0.28362851499999997,0.2563718825,0.0452179775,0.3399818025,0.136820585,0.0376378,0.0218171975,0.06236208,0.08471288,0.23726332,0.3253309975,0.201268765,0.38712634,0.30533013,0.090338165,0.1499173525,0.04535135,0.1547712725,0.171675435,0.24401582250000003,0.41586764,-0.0,0.3775249720441156,0.06794371737486031,0.08434099689353776,0.3547051331504569,0.15238744963906267,0.4708820826201472,0.20448218863880355,0.2905587338727063,0.041277606176915844,0.37108264501140736,0.13505472581773215,0.028062440721710467,0.00727239933966034,0.049774895250535654,0.09215113869573381,0.18320256253518222,0.408575830554007,0.2467420047486043,0.2536553376339973,0.31159518686719906,0.15586927247366833,0.10763301519801094,0.05812208116299288,0.17353983689588415,0.17330426259755713,0.23495743210631007,0.5510478158691753,0.25569838610674617
RU-AMU,0.3941854975,0.1348466225,0.1689277125,0.319503755,0.2794851625,0.40874640500000003,0.2686162875,0.28065981,0.1103012075,0.42801442999999995,0.2745663375,0.0790306075,0.042732105,0.0592661175,-0.0,0.032744999999999996,0.17428362,0.095227045,0.138159525,-0.0,0.005829745,0.04208291,-0.0,-0.0,0.40979317000000004,0.0466429925,0.18742890499999998,0.0420718625,0.4009904260839103,0.1475621199398872,0.18397239286166006,0.3285072108218971,0.280066866087965,0.390171716670689,0.2738452960309714,0.2675666423720024,0.12860866928093276,0.4168020873787189,0.26982935307170236,0.08958443580098971,0.05917848963900507,0.044843452438719025,0.0038371819639794378,0.04605620598229102,0.16136096221459956,0.09877253679684025,0.2478967986119663,0.027352518899204935,0.003331283412829243,0.09358624080915505,0.0,0.0,0.34437801267301754,0.059900356055777974,0.19735775920776602,0.02404106458559362
RU-ARK,0.38212370333333334,0.07724789333333333,0.10820287666666667,0.2655383233333333,0.2792289433333333,0.44909336,0.22543318333333331,0.18685413000000003,0.07526627666666667,0.5278607133333334,0.28103584666666664,0.05534259666666667,0.0,0.0009935766666666667,0.10311468,0.05418687666666666,0.20102472333333332,0.19073812,0.26134151666666666,0.04457501666666667,0.033974736666666665,0.04909122666666666,-0.0,-0.0,0.4691004366666666,0.06968297666666666,0.15324503666666667,-0.0,0.38493147935544414,0.08166022973430528,0.1005327629519943,0.29495696972774255,0.2443368006538118,0.4581476100575698,0.2237299504464724,0.2219708028394887,0.07537682512234396,0.5180415076515433,0.23346460238568725,0.03632535604184777,0.0,0.02159619098491029,0.044192006198329914,0.0944368459711019,0.3084975685441313,0.15572456616061578,0.17321708303189018,0.03682055865248617,0.01456060086102093,0.023180596287154787,0.003009384643949207,0.06069968531066502,0.37493494398276744,0.0747947528743794,0.2816498107628522,0.034885477595342176
RU-AST,0.29296174,0.044975325,0.09504716,0.352886225,0.17821696,0.5200377025,0.1879932025,0.37367875999999994,0.050466705,0.3332475275,0.159293955,0.032398105,0.0085093475,0.0225062525,0.16786233750000001,0.161010675,0.41627686249999996,0.182181765,0.357316815,0.267531615,0.14906744,0.13709809,0.0193228325,0.167760525,0.21771688500000003,0.176453075,0.446761545,0.2731173125,0.2929617415261906,0.04497532418276124,0.09504715912990112,0.35288622718281215,0.17821695864758236,0.5200377028822044,0.18799320282798465,0.37367876178839443,0.050466704964814514,0.3332475296304386,0.1592939568997078,0.0323981061057702,0.008509347504766205,0.022506253356844395,0.1678623376211904,0.1610106753176651,0.4162768620806912,0.18218176739563002,0.35731681500958395,0.2675316148579456,0.14906744040021608,0.13709809019951308,0.019322831593828547,0.16776052273069159,0.21771688572555709,0.17645307502545637,0.4467615434944955,0.27311731230859726
RU-BA,0.34864871875,0.02547187625,0.0291827625,0.37541399124999997,0.0557860175,0.5041449950000001,0.1730875775,0.30230320499999996,0.02502467625,0.30883678625,0.04171956375,0.01814349625,0.01183897625,0.04709682625,0.273234135,0.33737839875000003,0.61292339,0.11176321125000001,0.1967576875,0.13631332,0.2682540775,0.08524080125,0.21263749875,0.29442946875,0.11553993499999998,0.39409847624999994,0.7982350775,0.6458279325,0.33224585142059526,0.04181226173180896,0.05611795300645573,0.3683229653836398,0.10991834157871574,0.5030788119298751,0.1701435512578005,0.3259599590871168,0.04618312945232865,0.3424562877169181,0.08192919182683754,0.03499085343572627,0.012948397893821047,0.059052757962918576,0.16754406567654906,0.26197928349863603,0.5661234318330318,0.10873930633332973,0.14486676146644203,0.07789332583597135,0.20340049377166763,0.06420441730559566,0.12150714189063236,0.23988747676655128,0.19939716667177193,0.300058664268839,0.6883399536220544,0.4340204156196928
RU-BEL,0.25030915,0.04449708,0.0,0.39200586000000004,0.088994165,0.560618285,0.18041438,0.34714707,0.0,0.252985995,0.0,0.0,0.0,0.049122479999999996,0.080269485,0.343242885,0.684783115,0.06347732,-0.0,-0.0,0.26724295,-0.0,-0.0,0.24761402,0.304880795,0.418489385,0.86563276,0.315544985,0.17693762610945818,0.049379478026745804,0.054481488229929646,0.3738438276964226,0.10732360001018278,0.5844411140805083,0.1242389282813358,0.4218933582893879,0.04843691152574934,0.19446819987285296,0.0775415746014061,0.03336127664901261,0.016151799810715666,0.05356597041695028,0.14310913504241324,0.22090738196640622,0.64241260252838,0.05794134076088185,0.19906865230294435,0.13212502530468284,0.3073594150545153,0.07986877285951541,0.011668941260685881,0.2596488142683677,0.39274204145093483,0.3070888088567044,0.8674710595713087,0.3977809456515576
RU-BRY,0.28792977999999997,0.04069211,0.066850954,0.19446806200000002,0.096216318,0.55136039,0.104003702,0.229740054,0.047834294,0.486125338,0.062671558,0.028947202,0.008074618,0.056478394,0.0161998,0.223405312,0.53932336,0.273158652,0.15891740199999999,0.028484362000000003,0.10469893400000001,0.057469707999999994,-0.0,0.145846996,0.6157873119999999,0.30904389400000004,0.480723688,0.136771162,0.3122017232753361,0.034325296868994444,0.08487224956114152,0.2735067146317182,0.12833899784274022,0.5348135664573765,0.14595565819131298,0.2885802061762194,0.07089242878832831,0.4490845473582733,0.06268552941284304,0.031949075292398085,0.0033644240216893356,0.08463662688450058,0.010084185902660563,0.2485160375857202,0.533472540567088,0.15840201121681965,0.06621558433694973,0.01186848447231883,0.1278066942248776,0.02394571126945833,0.0,0.20400531770219868,0.45539821648539897,0.29627724820173196,0.5335814842863791,0.10521892674986036
RU-BU,0.38865055000000004,0.08636989375000001,0.11945324875,0.288338825,0.2022806125,0.4039035737500001,0.19646622,0.21786393625000003,0.08766929999999999,0.53354393625,0.15586174625,0.0839024975,0.0464570075,0.04281780375,0.0390505175,0.16340237625,0.28642484375,0.21591583250000002,0.19849336625,0.11889918875,0.00204263125,0.087137835,0.006329663750000001,0.04515672875000001,0.3664925949999999,0.14024033875,0.2632163275,0.10315911624999999,0.3886505500642491,0.08636989288979745,0.11945324898431499,0.28833882506197006,0.20228061265532668,0.4039035748920582,0.19646621935002087,0.2178639367429536,0.08766929996036771,0.5335439370057476,0.1558617454173498,0.08390249724270099,0.046457008328509845,0.04281780383761618,0.039050517794795854,0.16340237569315594,0.2864248414608352,0.21591583130994338,0.19849336600250564,0.11889918889432648,0.00204263164311611,0.08713783567301281,0.0063296637228790215,0.045156728678357655,0.3664925947303445,0.14024033749490541,0.26321632805296197,0.10315911640856988
RU-CE,0.38786786,0.04838183,0.14514549,0.32144192,0.2657059,0.43461367,0.25204289,0.29947504,0.07668339,0.49678255,0.23969308,0.0,0.0,0.04839638,-0.0,0.12172711,0.50752433,0.25056991,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.66000328,-0.0,0.56542877,-0.0,0.4012594208711322,0.07557135543123951,0.1401703381170929,0.32610560026332774,0.23856983686185676,0.4267430490041837,0.26144522041026236,0.2978553167645224,0.08623598961614397,0.4664043568968312,0.1837236952955211,0.04707884265086618,0.028711189175594735,0.07967606298510889,0.0,0.1749849505811196,0.380182263126605,0.1477798752359688,0.042307134258374596,0.03153779685384909,0.015813470805608642,0.004431659075148447,0.0,0.13167518364412328,0.5046686873907742,0.12136696593048481,0.38835737330559644,0.0
