,date,city,value
0,2020-03-02,Санкт-Петербург,0.7
1,2020-03-03,Санкт-Петербург,0.6
2,2020-03-04,Санкт-Петербург,0.6
3,2020-03-05,Санкт-Петербург,0.6
4,2020-03-06,Санкт-Петербург,0.6
5,2020-03-07,Санкт-Петербург,2.1
6,2020-03-08,Санкт-Петербург,2.5
7,2020-03-09,Санкт-Петербург,2.4
8,2020-03-10,Санкт-Петербург,0.6
9,2020-03-11,Санкт-Петербург,0.6
10,2020-03-12,Санкт-Петербург,0.6
11,2020-03-13,Санкт-Петербург,0.7
12,2020-03-14,Санкт-Петербург,2.1
13,2020-03-15,Санкт-Петербург,2.7
14,2020-03-16,Санкт-Петербург,0.8
15,2020-03-17,Санкт-Петербург,0.8
16,2020-03-18,Санкт-Петербург,1.0
17,2020-03-19,Санкт-Петербург,1.1
18,2020-03-20,Санкт-Петербург,1.1
19,2020-03-21,Санкт-Петербург,2.5
20,2020-03-22,Санкт-Петербург,2.8
21,2020-03-23,Санкт-Петербург,1.2
22,2020-03-24,Санкт-Петербург,1.2
23,2020-03-25,Санкт-Петербург,1.2
24,2020-03-26,Санкт-Петербург,1.2
25,2020-03-27,Санкт-Петербург,1.1
26,2020-03-28,Санкт-Петербург,3.0
27,2020-03-29,Санкт-Петербург,3.6
28,2020-03-30,Санкт-Петербург,3.0
29,2020-03-31,Санкт-Петербург,3.3
30,2020-04-01,Санкт-Петербург,3.5
31,2020-04-02,Санкт-Петербург,3.5
32,2020-04-03,Санкт-Петербург,3.4
33,2020-04-04,Санкт-Петербург,3.8
34,2020-04-05,Санкт-Петербург,4.0
35,2020-04-06,Санкт-Петербург,3.0
36,2020-03-02,Краснодар,0.7
37,2020-03-03,Краснодар,0.6
38,2020-03-04,Краснодар,0.5
39,2020-03-05,Краснодар,0.5
40,2020-03-06,Краснодар,0.5
41,2020-03-07,Краснодар,1.6
42,2020-03-08,Краснодар,2.0
43,2020-03-09,Краснодар,2.3
44,2020-03-10,Краснодар,0.6
45,2020-03-11,Краснодар,0.6
46,2020-03-12,Краснодар,0.6
47,2020-03-13,Краснодар,0.5
48,2020-03-14,Краснодар,1.8
49,2020-03-15,Краснодар,2.6
50,2020-03-16,Краснодар,0.8
51,2020-03-17,Краснодар,0.8
52,2020-03-18,Краснодар,1.0
53,2020-03-19,Краснодар,1.1
54,2020-03-20,Краснодар,1.1
55,2020-03-21,Краснодар,2.1
56,2020-03-22,Краснодар,2.5
57,2020-03-23,Краснодар,1.2
58,2020-03-24,Краснодар,1.2
59,2020-03-25,Краснодар,1.2
60,2020-03-26,Краснодар,1.2
61,2020-03-27,Краснодар,1.2
62,2020-03-28,Краснодар,2.6
63,2020-03-29,Краснодар,3.3
64,2020-03-30,Краснодар,2.7
65,2020-03-31,Краснодар,2.8
66,2020-04-01,Краснодар,3.8
67,2020-04-02,Краснодар,3.7
68,2020-04-03,Краснодар,3.8
69,2020-04-04,Краснодар,4.0
70,2020-04-05,Краснодар,4.1
71,2020-04-06,Краснодар,3.4
72,2020-03-02,Волгоград,1.1
73,2020-03-03,Волгоград,1.0
74,2020-03-04,Волгоград,0.9
75,2020-03-05,Волгоград,0.9
76,2020-03-06,Волгоград,1.0
77,2020-03-07,Волгоград,2.3
78,2020-03-08,Волгоград,2.6
79,2020-03-09,Волгоград,2.9
80,2020-03-10,Волгоград,1.1
81,2020-03-11,Волгоград,1.0
82,2020-03-12,Волгоград,1.1
83,2020-03-13,Волгоград,1.0
84,2020-03-14,Волгоград,2.3
85,2020-03-15,Волгоград,3.0
