date,country,confirmed,deaths
2020-04-19,RU-AD,91,2
2020-04-19,RU-AL,2,0
2020-04-19,RU-ALT,72,0
2020-04-19,RU-AMU,16,0
2020-04-19,RU-ARK,107,0
2020-04-19,RU-AST,123,3
2020-04-19,RU-BA,252,10
2020-04-19,RU-BEL,90,2
2020-04-19,RU-BRY,279,1
2020-04-19,RU-BU,115,2
2020-04-19,RU-CE,219,5
2020-04-19,RU-CHE,68,0
2020-04-19,RU-CHU,2,0
2020-04-19,RU-CU,193,1
2020-04-19,RU-DA,292,9
2020-04-19,RU-IN,269,5
2020-04-19,RU-IRK,55,2
2020-04-19,RU-IVA,183,1
2020-04-19,RU-KAM,34,0
2020-04-19,RU-KB,136,0
2020-04-19,RU-KC,67,0
2020-04-19,RU-KDA,383,5
2020-04-19,RU-KEM,35,1
2020-04-19,RU-KGD,126,1
2020-04-19,RU-KGN,13,0
2020-04-19,RU-KHA,185,4
2020-04-19,RU-KHM,175,0
2020-04-19,RU-KIR,150,2
2020-04-19,RU-KK,68,0
2020-04-19,RU-KL,74,3
2020-04-19,RU-KLU,188,2
2020-04-19,RU-KO,481,3
2020-04-19,RU-KOS,66,2
2020-04-19,RU-KR,19,0
2020-04-19,RU-KRS,196,2
2020-04-19,RU-KYA,300,0
2020-04-19,RU-LEN,417,0
2020-04-19,RU-LIP,149,1
2020-04-19,RU-MAG,63,0
2020-04-19,RU-ME,262,1
2020-04-19,RU-MO,258,1
2020-04-19,RU-MOS,4663,49
2020-04-19,RU-MOW,24324,176
2020-04-19,RU-MUR,354,3
2020-04-19,RU-NEN,1,0
2020-04-19,RU-NGR,98,1
2020-04-19,RU-NIZ,646,4
2020-04-19,RU-NVS,108,3
2020-04-19,RU-OMS,33,0
2020-04-19,RU-ORE,184,2
2020-04-19,RU-ORL,132,1
2020-04-19,RU-PER,198,3
2020-04-19,RU-PNZ,140,5
2020-04-19,RU-PRI,80,2
2020-04-19,RU-PSK,44,6
2020-04-19,RU-ROS,232,0
2020-04-19,RU-RYA,267,0
2020-04-19,RU-SA,88,0
2020-04-19,RU-SAK,19,0
2020-04-19,RU-SAM,79,0
2020-04-19,RU-SAR,114,0
2020-04-19,RU-SE,120,2
2020-04-19,RU-SMO,173,2
2020-04-19,RU-SPE,1760,8
2020-04-19,RU-STA,232,3
2020-04-19,RU-SVE,141,1
2020-04-19,RU-TA,191,0
2020-04-19,RU-TAM,187,0
2020-04-19,RU-TOM,29,0
2020-04-19,RU-TUL,287,0
2020-04-19,RU-TVE,270,0
2020-04-19,RU-TY,13,0
2020-04-19,RU-TYU,227,2
2020-04-19,RU-UD,66,3
2020-04-19,RU-ULY,168,2
2020-04-19,RU-VGG,93,1
2020-04-19,RU-VLA,225,5
2020-04-19,RU-VLG,93,0
2020-04-19,RU-VOR,156,5
2020-04-19,RU-YAN,116,1
2020-04-19,RU-YAR,117,0
2020-04-19,RU-YEV,20,0
2020-04-19,RU-ZAB,34,0
2020-04-19,UA-40,13,0
2020-04-19,UA-43,45,0
