date,country,confirmed,deaths
2020-04-20,RU-AD,100,2
2020-04-21,RU-AD,108,2
2020-04-22,RU-AD,113,3
2020-04-23,RU-AD,114,3
2020-04-24,RU-AD,117,3
2020-04-25,RU-AD,119,3
2020-04-26,RU-AD,134,3
2020-04-20,RU-AL,4,0
2020-04-21,RU-AL,8,0
2020-04-22,RU-AL,8,0
2020-04-23,RU-AL,9,0
2020-04-24,RU-AL,9,0
2020-04-25,RU-AL,14,0
2020-04-26,RU-AL,15,0
2020-04-20,RU-ALT,84,0
2020-04-21,RU-ALT,127,0
2020-04-22,RU-ALT,136,0
2020-04-23,RU-ALT,144,0
2020-04-24,RU-ALT,152,0
2020-04-25,RU-ALT,215,1
2020-04-26,RU-ALT,283,2
2020-04-20,RU-AMU,20,0
2020-04-21,RU-AMU,20,0
2020-04-22,RU-AMU,23,0
2020-04-23,RU-AMU,25,0
2020-04-24,RU-AMU,28,0
2020-04-25,RU-AMU,33,0
2020-04-26,RU-AMU,36,0
2020-04-20,RU-ARK,114,1
2020-04-21,RU-ARK,118,1
2020-04-22,RU-ARK,120,1
2020-04-23,RU-ARK,123,1
2020-04-24,RU-ARK,137,1
2020-04-25,RU-ARK,147,1
2020-04-26,RU-ARK,167,1
2020-04-20,RU-AST,136,3
2020-04-21,RU-AST,137,3
2020-04-22,RU-AST,148,3
2020-04-23,RU-AST,165,3
2020-04-24,RU-AST,186,3
2020-04-25,RU-AST,211,4
2020-04-26,RU-AST,277,4
2020-04-20,RU-BA,297,14
2020-04-21,RU-BA,371,14
2020-04-22,RU-BA,396,14
2020-04-23,RU-BA,422,14
2020-04-24,RU-BA,455,14
2020-04-25,RU-BA,490,14
2020-04-26,RU-BA,527,14
2020-04-20,RU-BEL,112,2
2020-04-21,RU-BEL,122,2
2020-04-22,RU-BEL,144,2
2020-04-23,RU-BEL,176,2
2020-04-24,RU-BEL,202,2
2020-04-25,RU-BEL,221,2
2020-04-26,RU-BEL,242,2
2020-04-20,RU-BRY,321,1
2020-04-21,RU-BRY,350,1
2020-04-22,RU-BRY,399,1
2020-04-23,RU-BRY,459,2
2020-04-24,RU-BRY,494,2
2020-04-25,RU-BRY,521,2
2020-04-26,RU-BRY,599,3
2020-04-20,RU-BU,115,2
2020-04-21,RU-BU,125,2
2020-04-22,RU-BU,153,2
2020-04-23,RU-BU,163,2
2020-04-24,RU-BU,167,2
2020-04-25,RU-BU,180,2
2020-04-26,RU-BU,186,2
2020-04-20,RU-CE,264,5
2020-04-21,RU-CE,303,5
2020-04-22,RU-CE,323,6
2020-04-23,RU-CE,347,6
2020-04-24,RU-CE,365,6
2020-04-25,RU-CE,387,6
2020-04-26,RU-CE,409,6
2020-04-20,RU-CHE,78,0
2020-04-21,RU-CHE,92,0
2020-04-22,RU-CHE,102,0
2020-04-23,RU-CHE,111,0
2020-04-24,RU-CHE,168,0
2020-04-25,RU-CHE,240,0
2020-04-26,RU-CHE,302,0
2020-04-20,RU-CHU,2,0
2020-04-21,RU-CHU,2,0
2020-04-22,RU-CHU,6,0
2020-04-23,RU-CHU,6,0
2020-04-24,RU-CHU,11,0
2020-04-25,RU-CHU,12,0
2020-04-26,RU-CHU,15,0
2020-04-20,RU-CU,225,2
2020-04-21,RU-CU,235,5
2020-04-22,RU-CU,262,5
2020-04-23,RU-CU,305,5
2020-04-24,RU-CU,348,5
2020-04-25,RU-CU,383,7
2020-04-26,RU-CU,421,8
2020-04-20,RU-DA,331,9
2020-04-21,RU-DA,371,11
2020-04-22,RU-DA,417,11
2020-04-23,RU-DA,454,11
2020-04-24,RU-DA,567,11
2020-04-25,RU-DA,724,11
2020-04-26,RU-DA,827,11
2020-04-20,RU-IN,308,5
2020-04-21,RU-IN,354,9
2020-04-22,RU-IN,397,12
2020-04-23,RU-IN,436,13
2020-04-24,RU-IN,474,13
2020-04-25,RU-IN,515,13
2020-04-26,RU-IN,552,13
2020-04-20,RU-IRK,65,2
2020-04-21,RU-IRK,68,3
2020-04-22,RU-IRK,75,3
2020-04-23,RU-IRK,75,3
2020-04-24,RU-IRK,80,3
2020-04-25,RU-IRK,85,3
2020-04-26,RU-IRK,87,4
2020-04-20,RU-IVA,203,2
2020-04-21,RU-IVA,213,2
2020-04-22,RU-IVA,225,2
2020-04-23,RU-IVA,239,2
2020-04-24,RU-IVA,247,2
2020-04-25,RU-IVA,263,2
2020-04-26,RU-IVA,274,2
2020-04-20,RU-KAM,41,0
2020-04-21,RU-KAM,48,0
2020-04-22,RU-KAM,63,0
2020-04-23,RU-KAM,78,0
2020-04-24,RU-KAM,84,0
2020-04-25,RU-KAM,87,0
2020-04-26,RU-KAM,110,0
2020-04-20,RU-KB,152,0
2020-04-21,RU-KB,170,1
2020-04-22,RU-KB,193,1
2020-04-23,RU-KB,218,1
2020-04-24,RU-KB,243,1
2020-04-25,RU-KB,272,1
2020-04-26,RU-KB,300,1
2020-04-20,RU-KC,87,0
2020-04-21,RU-KC,106,0
2020-04-22,RU-KC,145,0
2020-04-23,RU-KC,169,0
2020-04-24,RU-KC,194,0
2020-04-25,RU-KC,240,0
2020-04-26,RU-KC,282,1
