date,city,value
2020-03-02,Санкт-Петербург,0.7
2020-03-03,Санкт-Петербург,0.6
2020-03-04,Санкт-Петербург,0.6
2020-03-05,Санкт-Петербург,0.6
2020-03-06,Санкт-Петербург,0.6
2020-03-07,Санкт-Петербург,2.1
2020-03-08,Санкт-Петербург,2.5
2020-03-09,Санкт-Петербург,2.4
2020-03-10,Санкт-Петербург,0.6
2020-03-11,Санкт-Петербург,0.6
2020-03-12,Санкт-Петербург,0.6
2020-03-13,Санкт-Петербург,0.7
2020-03-14,Санкт-Петербург,2.1
2020-03-15,Санкт-Петербург,2.7
2020-03-16,Санкт-Петербург,0.8
2020-03-17,Санкт-Петербург,0.8
2020-03-18,Санкт-Петербург,1.0
2020-03-19,Санкт-Петербург,1.1
2020-03-20,Санкт-Петербург,1.1
2020-03-21,Санкт-Петербург,2.5
2020-03-22,Санкт-Петербург,2.8
2020-03-23,Санкт-Петербург,1.2
2020-03-24,Санкт-Петербург,1.2
2020-03-25,Санкт-Петербург,1.2
2020-03-26,Санкт-Петербург,1.2
2020-03-27,Санкт-Петербург,1.1
2020-03-28,Санкт-Петербург,3.0
2020-03-29,Санкт-Петербург,3.6
2020-03-30,Санкт-Петербург,3.0
2020-03-31,Санкт-Петербург,3.3
2020-04-01,Санкт-Петербург,3.5
2020-04-02,Санкт-Петербург,3.5
2020-04-03,Санкт-Петербург,3.4
2020-04-04,Санкт-Петербург,3.8
2020-04-05,Санкт-Петербург,4.0
2020-04-06,Санкт-Петербург,3.0
2020-03-02,Краснодар,0.7
2020-03-03,Краснодар,0.6
2020-03-04,Краснодар,0.5
2020-03-05,Краснодар,0.5
2020-03-06,Краснодар,0.5
2020-03-07,Краснодар,1.6
2020-03-08,Краснодар,2.0
2020-03-09,Краснодар,2.3
2020-03-10,Краснодар,0.6
2020-03-11,Краснодар,0.6
2020-03-12,Краснодар,0.6
2020-03-13,Краснодар,0.5
2020-03-14,Краснодар,1.8
2020-03-15,Краснодар,2.6
2020-03-16,Краснодар,0.8
2020-03-17,Краснодар,0.8
2020-03-18,Краснодар,1.0
2020-03-19,Краснодар,1.1
2020-03-20,Краснодар,1.1
2020-03-21,Краснодар,2.1
2020-03-22,Краснодар,2.5
2020-03-23,Краснодар,1.2
2020-03-24,Краснодар,1.2
2020-03-25,Краснодар,1.2
2020-03-26,Краснодар,1.2
2020-03-27,Краснодар,1.2
2020-03-28,Краснодар,2.6
2020-03-29,Краснодар,3.3
2020-03-30,Краснодар,2.7
2020-03-31,Краснодар,2.8
2020-04-01,Краснодар,3.8
2020-04-02,Краснодар,3.7
2020-04-03,Краснодар,3.8
2020-04-04,Краснодар,4.0
2020-04-05,Краснодар,4.1
2020-04-06,Краснодар,3.4
2020-03-02,Волгоград,1.1
2020-03-03,Волгоград,1.0
2020-03-04,Волгоград,0.9
2020-03-05,Волгоград,0.9
2020-03-06,Волгоград,1.0
2020-03-07,Волгоград,2.3
2020-03-08,Волгоград,2.6
2020-03-09,Волгоград,2.9
2020-03-10,Волгоград,1.1
2020-03-11,Волгоград,1.0
2020-03-12,Волгоград,1.1
2020-03-13,Волгоград,1.0
2020-03-14,Волгоград,2.3
2020-03-15,Волгоград,3.0
2020-03-16,Волгоград,1.2
2020-03-17,Волгоград,1.2
2020-03-18,Волгоград,1.2
2020-03-19,Волгоград,1.2
2020-03-20,Волгоград,1.3
2020-03-21,Волгоград,2.5
2020-03-22,Волгоград,3.1
2020-03-23,Волгоград,1.6
2020-03-24,Волгоград,1.6
2020-03-25,Волгоград,1.6
2020-03-26,Волгоград,1.5
2020-03-27,Волгоград,1.5
2020-03-28,Волгоград,2.8
2020-03-29,Волгоград,3.4
2020-03-30,Волгоград,2.8
2020-03-31,Волгоград,2.9
2020-04-01,Волгоград,3.5
2020-04-02,Волгоград,3.5
2020-04-03,Волгоград,3.3
2020-04-04,Волгоград,3.6
2020-04-05,Волгоград,3.8
2020-04-06,Волгоград,3.0
2020-03-02,Ростов-на-Дону,0.8
2020-03-03,Ростов-на-Дону,0.7
2020-03-04,Ростов-на-Дону,0.6
2020-03-05,Ростов-на-Дону,0.6
2020-03-06,Ростов-на-Дону,0.7
2020-03-07,Ростов-на-Дону,1.9
2020-03-08,Ростов-на-Дону,2.4
2020-03-09,Ростов-на-Дону,2.4
2020-03-10,Ростов-на-Дону,0.8
2020-03-11,Ростов-на-Дону,0.8
2020-03-12,Ростов-на-Дону,0.8
2020-03-13,Ростов-на-Дону,0.7
2020-03-14,Ростов-на-Дону,2.0
2020-03-15,Ростов-на-Дону,2.8
2020-03-16,Ростов-на-Дону,1.0
2020-03-17,Ростов-на-Дону,0.9
